ID,foreperiod,logFP,condition,oneBackFP,twoBackFP,oneBackFPDiff,oneBacktrialType,block,counterbalance,meanRT,meanLogRT,meanRTzscore,meanInvRT,meanSeqEff,numForeperiod,numOneBackFP,numOneBackFPDiff,numLogFP,squaredNumForeperiod,squaredNumOneBackFPDiff,squaredNumLogFP,scaledNumForeperiod,squaredScaledNumForeperiod,scaledNumOneBackFP,scaledNumOneBackFPDiff,squaredScaledNumOneBackFPDiff
117,1800,3.255272505103306,external,600,1800,1,go,2,action-external,417.8333333333333,2.611607156576382,0.342379480586161,0.0024953863901412974,-1.7666666666666764,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,600,1800,1,go,3,action-external,403.95000000000005,2.6061179135323944,0.19787129921258173,0.002477945700508103,24.600000000000016,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,1200,600,1,go,2,action-external,352.85,2.547495880096866,-0.33401595659941735,0.0028352957152763657,-32.35000000000002,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,1200,600,1,go,3,action-external,323.29999999999995,2.509605704611556,-0.6415945947451045,0.0030931023816888345,25.29999999999999,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,1200,1200,no-go,no-go,2,action-external,452.6,2.65571454961871,0.7042571112527728,0.002209456473707468,NA,1800,1200,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,NA,NA
117,1800,3.255272505103306,external,1200,1200,no-go,no-go,3,action-external,372.7,2.57135939275384,-0.12740221828497184,0.002683123155352831,NA,1800,1200,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,NA,NA
117,1800,3.255272505103306,external,1200,1200,1,go,3,action-external,348.53333333333336,2.541163373174331,-0.37894707181641285,0.0028835480836196907,-8.566666666666663,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,1200,1800,no-go,no-go,2,action-external,357.20000000000005,2.552911450216509,-0.2887378829637577,0.0027995520716685325,NA,1800,1200,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,NA,NA
117,1800,3.255272505103306,external,1200,1800,1,go,2,action-external,345.8333333333333,2.536442702190685,-0.4070507037282015,0.0029236567287824764,60.59999999999999,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,external,1800,600,no-go,no-go,2,action-external,358.09999999999997,2.554004321011903,-0.279370005659829,0.0027925160569673277,100.69999999999996,1800,1800,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,NA,NA
117,1800,3.255272505103306,external,1800,600,no-go,no-go,3,action-external,391.6,2.5928426831311002,0.06932320509754873,0.002553626149131767,NA,1800,1800,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,NA,NA
117,1800,3.255272505103306,external,1800,600,0,go,2,action-external,302.8666666666667,2.4809836939681986,-0.8542801053861709,0.003305845441800074,-107.86666666666663,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,external,1800,600,0,go,3,action-external,345.8,2.534843188073577,-0.4073976621468657,0.002945929210749447,-41.53333333333333,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,external,1800,1200,no-go,no-go,3,action-external,336.9,2.52750101098112,-0.500035559930169,0.0029682398337785693,NA,1800,1800,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,NA,NA
117,1800,3.255272505103306,external,1800,1200,0,go,2,action-external,518.2,2.714497408649806,1.3870712791836368,0.0019297568506368196,172.70000000000002,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,external,1800,1200,0,go,3,action-external,375.40000000000003,2.5744942682853273,-0.09929858637318277,0.0026638252530633987,-1.90000000000001,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,external,1800,1800,0,go,2,action-external,328.29999999999995,2.51627088272934,-0.589550831945496,0.0030459945172098693,-189.9,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,external,1800,1800,0,go,3,action-external,359.20000000000005,2.555336327995267,-0.26792037784391426,0.0027839643652561243,22.30000000000004,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,600,600,no-go,no-go,1,action-external,266.6,2.4258601450778405,-1.2317708648926644,0.003750937734433608,NA,1800,600,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,NA,NA
117,1800,3.255272505103306,action,600,600,1,go,1,action-external,457.7,2.6593658613820406,0.7573417493083734,0.0021970870932631072,-18.66666666666662,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,600,1200,no-go,no-go,1,action-external,447.79999999999995,2.651084089243011,0.6542950989651478,0.002233139794551139,NA,1800,600,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,NA,NA
117,1800,3.255272505103306,action,600,1200,1,go,0,action-external,404.2,2.6041184581966044,0.20047348735256207,0.002501726772904463,-46.63333333333332,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,600,1200,1,go,1,action-external,317.7,2.5020172148271476,-0.6998836090806656,0.003147623544224111,-331.7,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,600,1800,no-go,no-go,0,action-external,367.5,2.5652573434202135,-0.1815277315965646,0.0027210884353741495,NA,1800,600,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,NA,NA
117,1800,3.255272505103306,action,600,1800,1,go,0,action-external,507.6,2.7055216134226674,1.2767385020484665,0.001970055161544523,90.90000000000003,1800,600,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-1.2260862349260744,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1200,600,no-go,no-go,0,action-external,272.6,2.435525851498655,-1.1693183495331343,0.003668378576669112,NA,1800,1200,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,NA,NA
117,1800,3.255272505103306,action,1200,600,1,go,0,action-external,321,2.506505032404872,-0.6655347256329239,0.003115264797507788,-89.39999999999998,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1200,600,1,go,1,action-external,383.55,2.571169762819995,-0.014467253009821102,0.0027636463097629954,-93.10000000000002,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1200,1200,1,go,0,action-external,432.6,2.6285601177942888,0.49608206005433836,0.0023924007841758335,62.549999999999976,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1200,1200,1,go,1,action-external,439.55,2.631691732662148,0.5684228903457944,0.0023967614956489688,25.05000000000002,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1200,1800,no-go,no-go,1,action-external,350.95,2.5446700806578635,-0.35379258646326894,0.002856966088435291,NA,1800,1200,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,NA,NA
117,1800,3.255272505103306,action,1200,1800,1,go,1,action-external,393.5,2.571454669125222,0.08909983496139973,0.002831622786108138,-96.85,1800,1200,1,3.25527250510331,3240000,1,10.59679908248158,1.215548436570478,1.4775580016489336,-0.001072456798535992,1.2212058233595313,1.4913436630072308
117,1800,3.255272505103306,action,1800,600,no-go,no-go,0,action-external,233.7,2.368658712392227,-1.5742188241140889,0.004278990158322636,NA,1800,1800,NA,3.25527250510331,3240000,NA,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,NA,NA
117,1800,3.255272505103306,action,1800,600,0,go,0,action-external,403.26666666666665,2.5961322603619985,0.19075865162996822,0.002586684821024968,-12.266666666666685,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,1800,600,0,go,1,action-external,375.09999999999997,2.574147064150723,-0.10242121214116,0.002665955745134631,-125.50000000000006,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,1800,1200,0,go,0,action-external,479.56666666666666,2.6778386796992653,0.9849464719519947,0.002113640205755608,87.26666666666667,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,1800,1200,0,go,1,action-external,377.79999999999995,2.559771171670988,-0.0743175802293713,0.0028689277431919354,-37.649999999999984,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,1800,1800,0,go,0,action-external,360.8,2.5570962996050564,-0.2512663737480399,0.002773792245267198,59.95000000000002,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
117,1800,3.255272505103306,action,1800,1800,0,go,1,action-external,387.05,2.5875386507947153,0.021963380949904854,0.002586364735897446,9.250000000000007,1800,1800,0,3.25527250510331,3240000,0,10.59679908248158,1.215548436570478,1.4775580016489336,1.2239413213290025,-3.8294318700518386e-4,1.4664548447368722e-7
120,600,2.7781512503836434,external,600,600,no-go,no-go,0,external-action,548.3999994999999,2.7384291407209487,-0.12016999951723882,0.0018291072210627419,136.3,600,600,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,NA,NA
120,600,2.7781512503836434,external,600,600,0,go,0,external-action,657.5,2.8178957571617955,0.8579343987856933,0.001520912547528517,-84.19999900000008,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
120,600,2.7781512503836434,external,600,1200,0,go,0,external-action,741.699999,2.8702282784262554,1.6128050585617446,0.0013482540128734717,-1.20000099999995,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
120,600,2.7781512503836434,external,600,1200,0,go,1,external-action,362.5,2.5593080109070123,-1.7868025047614788,0.002758620689655172,-82.40000000000003,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
