ID,foreperiod,oneBackFP,twoBackFP,RT
109,1.8,1.2,0.6,0.31370000000000003
109,1.8,1.2,1.2,0.2709090909090909
109,1.8,1.2,1.8,0.29391249999999997
109,1.8,1.8,0.6,0.30860999999999994
109,1.8,1.8,1.2,0.3102083333333333
109,1.8,1.8,1.8,0.30616
110,0.6,0.6,0.6,0.3699142857142857
110,0.6,0.6,1.2,0.3209375
110,0.6,0.6,1.8,0.39810000000000006
110,0.6,1.2,0.6,0.41453999999999996
110,0.6,1.2,1.2,0.38585
110,0.6,1.2,1.8,0.38858333333333334
110,0.6,1.8,0.6,0.44641818181818177
110,0.6,1.8,1.2,0.4696714285714286
110,0.6,1.8,1.8,0.4615600000000001
110,1.2,0.6,0.6,0.3167375
110,1.2,0.6,1.2,0.35162307692307687
110,1.2,0.6,1.8,0.3754583333333333
110,1.2,1.2,0.6,0.35244285714285717
110,1.2,1.2,1.2,0.35277777777777775
110,1.2,1.2,1.8,0.36491428571428575
110,1.2,1.8,0.6,0.34325
110,1.2,1.8,1.2,0.3922857142857143
110,1.2,1.8,1.8,0.3261777777777778
110,1.8,0.6,0.6,0.29956666666666665
110,1.8,0.6,1.2,0.3596222222222222
110,1.8,0.6,1.8,0.3552
110,1.8,1.2,0.6,0.3592
110,1.8,1.2,1.2,0.3718777777777778
110,1.8,1.2,1.8,0.3964285714285714
110,1.8,1.8,0.6,0.35649090909090914
110,1.8,1.8,1.2,0.36223750000000005
110,1.8,1.8,1.8,0.3968285714285714
111,0.6,0.6,0.6,0.42533333333333334
111,0.6,0.6,1.2,0.3969090909090909
111,0.6,0.6,1.8,0.40925
111,0.6,1.2,0.6,0.458875
111,0.6,1.2,1.2,0.3856363636363636
111,0.6,1.2,1.8,0.4295
111,0.6,1.8,0.6,0.41859999999999997
111,0.6,1.8,1.2,0.4484444444444444
111,0.6,1.8,1.8,0.43599999999999994
111,1.2,0.6,0.6,0.383
111,1.2,0.6,1.2,0.3697692307692308
111,1.2,0.6,1.8,0.38557142857142856
111,1.2,1.2,0.6,0.389625
111,1.2,1.2,1.2,0.37655555555555553
111,1.2,1.2,1.8,0.3841666666666666
111,1.2,1.8,0.6,0.3981111111111111
111,1.2,1.8,1.2,0.39
111,1.2,1.8,1.8,0.391
111,1.8,0.6,0.6,0.40125000000000005
111,1.8,0.6,1.2,0.3928
111,1.8,0.6,1.8,0.3781666666666666
111,1.8,1.2,0.6,0.39344444444444443
111,1.8,1.2,1.2,0.4438
111,1.8,1.2,1.8,0.40974999999999995
111,1.8,1.8,0.6,0.40729999999999994
111,1.8,1.8,1.2,0.36925
111,1.8,1.8,1.8,0.38933333333333336
112,0.6,0.6,0.6,0.3829
112,0.6,0.6,1.2,0.35804545454545456
112,0.6,0.6,1.8,0.3686153846153846
112,0.6,1.2,0.6,0.5039714285714286
112,0.6,1.2,1.2,0.3781714285714286
112,0.6,1.2,1.8,0.38859090909090904
112,0.6,1.8,0.6,0.3761666666666667
112,0.6,1.8,1.2,0.39953000000000005
112,0.6,1.8,1.8,0.38361666666666666
112,1.2,0.6,0.6,0.37166249999999995
112,1.2,0.6,1.2,0.38
112,1.2,0.6,1.8,0.32108
112,1.2,1.2,0.6,0.32287
112,1.2,1.2,1.2,0.38088571428571427
112,1.2,1.2,1.8,0.33492500000000003
112,1.2,1.8,0.6,0.34892727272727275
112,1.2,1.8,1.2,0.34958000000000006
112,1.2,1.8,1.8,0.35506000000000004
